alpha,beta,loss
0.1,0.1,3.6666666666666665
0.2,0.1,3.6666666666666665
0.2,0.2,3.6666666666666665
0.3,0.1,3.6666666666666665
0.3,0.2,3.6666666666666665
0.3,0.3,3.6666666666666665
0.4,0.1,3.6666666666666665
0.4,0.2,3.6666666666666665
0.4,0.3,3.6666666666666665
0.4,0.4,3.6666666666666665
0.5,0.1,3.6666666666666665
0.5,0.2,3.6666666666666665
0.5,0.3,3.6666666666666665
0.5,0.4,3.6666666666666665
0.5,0.5,3.6666666666666665
0.6,0.1,3.6666666666666665
0.6,0.2,3.6666666666666665
0.6,0.3,3.6666666666666665
0.6,0.4,3.6666666666666665
0.6,0.5,3.6666666666666665
0.6,0.6,3.6666666666666665
0.7,0.1,3.6666666666666665
0.7,0.2,3.6666666666666665
0.7,0.3,3.6666666666666665
0.7,0.4,3.6666666666666665
0.7,0.5,3.6666666666666665
0.7,0.6,3.6666666666666665
0.7,0.7,3.6666666666666665
0.8,0.1,3.6666666666666665
0.8,0.2,3.6666666666666665
0.8,0.3,3.6666666666666665
0.8,0.4,3.6666666666666665
0.8,0.5,3.6666666666666665
0.8,0.6,3.6666666666666665
0.8,0.7,3.6666666666666665
0.8,0.8,3.6666666666666665
0.9,0.1,3.6666666666666665
0.9,0.2,3.6666666666666665
0.9,0.3,3.6666666666666665
0.9,0.4,3.6666666666666665
0.9,0.5,3.6666666666666665
0.9,0.6,3.6666666666666665
0.9,0.7,3.6666666666666665
0.9,0.8,3.6666666666666665
0.9,0.9,3.6666666666666665
1.0,0.1,3.6666666666666665
1.0,0.2,3.6666666666666665
1.0,0.3,3.6666666666666665
1.0,0.4,3.6666666666666665
1.0,0.5,3.6666666666666665
1.0,0.6,3.6666666666666665
1.0,0.7,3.6666666666666665
1.0,0.8,3.6666666666666665
1.0,0.9,3.6666666666666665
1.0,1.0,3.6666666666666665
